sta      PGA_Z   PGA_X   PGA_Y   PGA_3D  PGA_H  triID        evtID
5AE28    2.30    0.62    0.66    2.48    0.91   1657762638   1657762726       20220714013846
5AE99    3.58    2.86    4.76    6.61    5.55   1666971063   1666971044       20221028153043
5ADEE    1.70    2.04    1.15    2.89    2.34   1670432084   1670432068       20221207165428
5AE82    1.50    0.60    0.75    1.78    0.96   1666971056   1666971044       20221028153043
5AF66    1.91    1.25    1.12    2.54    1.68   1668908994   1668908982       20221120014941
5B00B    2.31   11.25   11.20   16.04   15.87   1663422161   1663422080       20220917134119
5B00B    1.64    1.93    1.45    2.92    2.42   1658616075   1658616050       20220723224050
5AF30    3.90    0.67    0.79    4.03    1.03   1666971055   1666971044       20221028153043
5AFA8    3.35    0.70    0.71    3.50    0.99   1667291429   1667291412       20221101083011
5AFE5    3.21    2.95    2.09    4.84    3.62   1663483493   1663483456       20220918064415
5AE99    1.23    0.82    1.19    1.90    1.45   1666727783   1666727764       20221025195604
5AF0F    2.64    1.41    1.71    3.45    2.22   1662526249   1662526244       20220907045043
5AF1E    1.82    5.63    9.72   11.38   11.24   1663478424   1663478360       20220918051919
5AEB6  108.55   62.21   91.80  155.18  110.89   1655687065   1655687108       20220620010507
5AEB6  108.55   62.21   91.80  155.18  110.89   1655687065   1655687146       20220620010546
5AEB6  108.55   62.21   91.80  155.18  110.89   1655687065   1655687178       20220620010618
5AFB5    1.51    0.58    0.62    1.74    0.85   1666061894   1666061962       20221018025922
5AE3E    2.52    5.83    4.30    7.67    7.25   1657763488   1657763476       20220714015116
5AE4E    2.30    5.84    5.30    8.21    7.89   1663478422   1663478360       20220918051919
5AFA8   21.92    3.88    1.93   22.34    4.33   1665475874   1665475910       20221011081150
5AE1A    1.77    0.57    0.73    2.00    0.93   1666971054   1666971044       20221028153043
5AE6F    2.90   13.46   11.29   17.80   17.57   1663553314   1663553266       20220919020745
5AE3E    1.77    1.28    0.84    2.34    1.53   1657437003   1657436992       20220710070952
5AE9A    2.36    3.88    3.11    5.50    4.97   1668909002   1668908982       20221120014941
5AE1C    2.23   13.90   10.29   17.43   17.29   1663422146   1663422080       20220917134119
5AF1E    2.30    1.71    1.62    3.29    2.36   1670432110   1670432068       20221207165428
5AE29    1.72    1.02    0.93    2.21    1.38   1669484318   1669484284       20221126173804
5AF1E    2.30    1.71    1.62    3.29    2.36   1670432110   1670432068       20221207165428
5AE98    3.63    4.66    1.85    6.19    5.02   1663422139   1663422080       20220917134119
